"Y","X","Statistik"
"binär","","Anteil $p$"
"kategorial","","Verhältnis beobachtet/erwartet: $\chi^2$"
"kategorial","","Verhältnis beobachtet/erwartet": $\chi^2$"
"numerisch","", "Mittelwert $\bar{x}$"
"binär","binär","Differenz der Anteile $p_B-p_A$"
"numerisch","binär","Differenz der Mittelwerte $\bar{x}_B-\bar{x}_A$"
"kategorial","kategorial", "Verhältnis beobachtet/erwartet: $\chi^2$"
"numerisch","kategorial","Verhältnis Varianz zwischen/innerhalb der Gruppen: $F$"
"numerisch","numerisch","Korrelation oder Regression $r, \hat{\beta}$"
"kategorial","numerisch","Regression $\hat{\beta}$ (logistische oder multinomiale Regression)"
